company_id,symbol,company_name,period,thesis_id,bms,state,evidence_count,earnings,economics,execution,balance_sheet,management_delivery
228,INOXWIND,Inox Wind Ltd.,Q2 FY26,228,0.0,mixed,5,0.8,-0.8,0.0,0.0,0.0
229,INTELLECT,Intellect Design Arena Ltd.,Q2 FY26,229,0.4175,improving,4,0.84,0.83,0.0,0.0,0.0
230,IOC,Indian Oil Corporation Ltd.,Q2 FY26,230,0.4325,improving,3,0.84,0.89,0.0,0.0,0.0
231,IPCALAB,Ipca Laboratories Ltd.,Q2 FY26,231,0.185,mixed,1,0.74,0.0,0.0,0.0,0.0
232,IRB,IRB Infrastructure Developers Ltd.,Q2 FY26,232,0.4175,improving,4,0.78,0.89,0.0,0.0,0.0
233,IRCON,IRCON International Ltd.,Q2 FY26,233,-0.19,mixed,4,-0.76,0.0,0.0,0.0,0.0
234,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Q2 FY26,234,0.19,mixed,2,0.76,0.0,0.0,0.0,0.0
235,IREDA,Indian Renewable Energy Development Agency Ltd.,Q2 FY26,235,0.0875,mixed,6,0.37,-0.02,0.0,0.0,0.0
236,IRFC,Indian Railway Finance Corporation Ltd.,Q2 FY26,236,0.4075,improving,2,0.74,0.89,0.0,0.0,0.0
237,ITC,ITC Ltd.,Q2 FY26,237,-0.01,mixed,2,0.74,-0.78,0.0,0.0,0.0
238,ITCHOTELS,ITC Hotels Ltd.,Q2 FY26,238,0.4075,improving,3,0.83,0.8,0.0,0.0,0.0
239,ITI,ITI Ltd.,Q2 FY26,239,0.055,mixed,3,0.22,0.0,0.0,0.0,0.0
240,JAINREC,Jain Resource Recycling Ltd.,Q2 FY26,240,0.4025,improving,3,0.86,0.75,0.0,0.0,0.0
241,JBMA,JBM Auto Ltd.,Q2 FY26,241,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
242,JINDALSAW,Jindal Saw Ltd.,Q2 FY26,242,-0.435,weakening,3,-0.85,-0.89,0.0,0.0,0.0
243,JINDALSTEL,Jindal Steel Ltd.,Q2 FY26,243,-0.005,mixed,2,-0.78,0.76,0.0,0.0,0.0
244,JIOFIN,Jio Financial Services Ltd.,Q2 FY26,244,-0.0075,mixed,4,0.79,-0.82,0.0,0.0,0.0
245,JKCEMENT,J.K. Cement Ltd.,Q2 FY26,245,0.3825,mixed,5,0.74,0.79,0.0,0.0,0.0
246,JKTYRE,JK Tyre & Industries Ltd.,Q2 FY26,246,-0.12,mixed,4,0.28,-0.76,0.0,0.0,0.0
247,JMFINANCIL,JM Financial Ltd.,Q2 FY26,247,0.2775,mixed,5,0.29,0.82,0.0,0.0,0.0
248,JPPOWER,Jaiprakash Power Ventures Ltd.,Q2 FY26,248,-0.2,mixed,3,-0.02,-0.78,0.0,0.0,0.0
249,JSL,Jindal Stainless Ltd.,Q2 FY26,249,0.2025,mixed,2,0.81,0.0,0.0,0.0,0.0
250,JSWCEMENT,JSW Cement Ltd.,Q2 FY26,250,0.27,mixed,5,0.26,0.82,0.0,0.0,0.0
251,JSWDULUX,JSW Dulux Ltd.,Q2 FY26,251,-0.25,mixed,4,-0.24,-0.76,0.0,0.0,0.0
252,JSWENERGY,JSW Energy Ltd.,Q2 FY26,252,0.4,improving,5,0.79,0.81,0.0,0.0,0.0
253,JSWINFRA,JSW Infrastructure Ltd.,Q2 FY26,253,-0.0025,mixed,5,0.76,-0.77,0.0,0.0,0.0
254,JSWSTEEL,JSW Steel Ltd.,Q2 FY26,254,0.39,mixed,5,0.82,0.74,0.0,0.0,0.0
255,JUBLFOOD,Jubilant Foodworks Ltd.,Q2 FY26,255,0.2025,mixed,3,0.81,0.0,0.0,0.0,0.0
256,JUBLINGREA,Jubilant Ingrevia Ltd.,Q2 FY26,256,0.3775,mixed,4,0.75,0.76,0.0,0.0,0.0
257,JUBLPHARMA,Jubilant Pharmova Ltd.,Q2 FY26,257,-0.0025,mixed,2,-0.01,0.0,0.0,0.0,0.0
258,JWL,Jupiter Wagons Ltd.,Q2 FY26,258,-0.385,mixed,5,-0.78,-0.76,0.0,0.0,0.0
259,JYOTICNC,Jyoti CNC Automation Ltd.,Q2 FY26,259,0.19,mixed,3,0.76,0.0,0.0,0.0,0.0
260,KAJARIACER,Kajaria Ceramics Ltd.,Q2 FY26,260,0.4275,improving,2,0.85,0.86,0.0,0.0,0.0
261,KALYANKJIL,Kalyan Jewellers India Ltd.,Q2 FY26,261,0.1975,mixed,4,0.79,0.0,0.0,0.0,0.0
262,KAYNES,Kaynes Technology India Ltd.,Q2 FY26,262,0.3875,mixed,6,0.81,0.74,0.0,0.0,0.0
263,KEC,Kec International Ltd.,Q2 FY26,263,0.2025,mixed,3,0.81,0.0,0.0,0.0,0.0
264,KEI,KEI Industries Ltd.,Q2 FY26,264,0.1875,mixed,4,0.75,0.0,0.0,0.0,0.0
265,KFINTECH,Kfin Technologies Ltd.,Q2 FY26,265,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
266,KIMS,Krishna Institute of Medical Sciences Ltd.,Q2 FY26,266,0.05,mixed,3,0.2,0.0,0.0,0.0,0.0
267,KIRLOSENG,Kirloskar Oil Eng Ltd.,Q2 FY26,267,0.2025,mixed,2,0.81,0.0,0.0,0.0,0.0
268,KPIL,Kalpataru Projects International Ltd.,Q2 FY26,268,0.1925,mixed,4,0.77,0.0,0.0,0.0,0.0
269,KPITTECH,KPIT Technologies Ltd.,Q2 FY26,269,-0.19,mixed,1,-0.76,0.0,0.0,0.0,0.0
270,KPRMILL,K.P.R. Mill Ltd.,Q2 FY26,270,-0.3975,mixed,2,-0.83,-0.76,0.0,0.0,0.0
271,LALPATHLAB,Dr. Lal Path Labs Ltd.,Q2 FY26,271,0.1825,mixed,3,0.73,0.0,0.0,0.0,0.0
272,LATENTVIEW,Latent View Analytics Ltd.,Q2 FY26,272,0.185,mixed,4,0.74,0.0,0.0,0.0,0.0
273,LAURUSLABS,Laurus Labs Ltd.,Q2 FY26,273,0.1975,mixed,4,0.79,0.0,0.0,0.0,0.0
274,LEMONTREE,Lemon Tree Hotels Ltd.,Q2 FY26,274,0.2025,mixed,1,0.81,0.0,0.0,0.0,0.0
275,LENSKART,Lenskart Solutions Ltd.,Q2 FY26,275,0.19,mixed,1,0.0,0.76,0.0,0.0,0.0
276,LGEINDIA,LG Electronics India Ltd.,Q2 FY26,276,-0.3775,mixed,2,-0.75,-0.76,0.0,0.0,0.0
277,LICHSGFIN,LIC Housing Finance Ltd.,Q2 FY26,277,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
278,LINDEINDIA,Linde India Ltd.,Q2 FY26,278,0.415,improving,3,0.83,0.83,0.0,0.0,0.0
279,LLOYDSME,Lloyds Metals And Energy Ltd.,Q2 FY26,279,0.405,improving,3,0.86,0.76,0.0,0.0,0.0
280,LODHA,Lodha Developers Ltd.,Q2 FY26,280,0.405,improving,5,0.82,0.8,0.0,0.0,0.0
281,LT,Larsen & Toubro Ltd.,Q2 FY26,281,0.1825,mixed,2,0.73,0.0,0.0,0.0,0.0
282,LTF,L&T Finance Ltd.,Q2 FY26,282,0.19,mixed,1,0.76,0.0,0.0,0.0,0.0
283,LTFOODS,LT Foods Ltd.,Q2 FY26,283,0.2025,mixed,1,0.81,0.0,0.0,0.0,0.0
284,LTM,LTM Ltd.,Q2 FY26,284,0.1875,mixed,2,0.75,0.0,0.0,0.0,0.0
285,LTTS,L&T Technology Services Ltd.,Q2 FY26,285,0.005,mixed,2,0.78,-0.76,0.0,0.0,0.0
286,LUPIN,Lupin Ltd.,Q2 FY26,286,0.2075,mixed,3,0.83,0.0,0.0,0.0,0.0
