bms_rank,symbol,company_name,bms,previous_bms,bms_change_vs_previous_quarter,bms_change_display,bms_change_reliability,lifecycle_state,reversal_warning,evidence_count,previous_evidence_count,evidence_strength,period,q1_fy26_bms,bms_change_rank,state,earnings,economics,execution,balance_sheet,management_delivery,q1_fy26_evidence_count
464,COALINDIA,Coal India Ltd.,-0.405,-0.4075,0.0025,+0.0025,Reliable change,Watch,,5,3,Moderate,Q3 FY26,-0.195,246,weakening,-0.8,-0.82,0.0,0.0,0.0,1
465,VOLTAS,Voltas Ltd.,-0.4075,-0.405,-0.0025,-0.0025,Reliable change,Watch,Early,5,4,Moderate,Q3 FY26,-0.3875,331,weakening,-0.84,-0.79,0.0,0.0,0.0,2
466,TATAELXSI,Tata Elxsi Ltd.,-0.41,-0.4,-0.01,-0.0100,Reliable change,Watch,Early,6,4,Moderate,Q3 FY26,-0.3825,377,weakening,-0.83,-0.81,0.0,0.0,0.0,2
467,TEJASNET,Tejas Networks Ltd.,-0.4125,-0.405,-0.0075,-0.0075,Reliable change,Watch,Early,9,6,High,Q3 FY26,-0.39,367,weakening,-0.82,-0.83,0.0,0.0,0.0,3
468,TATATECH,Tata Technologies Ltd.,-0.4125,-0.19,-0.2225,-0.2225 (limited history),Limited history,Fading,High,3,1,Limited,Q3 FY26,0.0,465,weakening,-0.82,-0.83,0.0,0.0,0.0,0
469,OLAELEC,Ola Electric Mobility Ltd.,-0.415,-0.3925,-0.0225,-0.0225,Reliable change,Watch,Early,8,5,High,Q3 FY26,-0.385,399,weakening,-0.83,-0.83,0.0,0.0,0.0,3
470,ABREL,Aditya Birla Real Estate Ltd.,-0.4225,-0.4125,-0.01,-0.0100,Reliable change,Watch,Early,9,6,High,Q3 FY26,-0.39,377,weakening,-0.83,-0.86,0.0,0.0,0.0,3
471,SPLPETRO,Supreme Petrochem Ltd.,-0.425,-0.205,-0.22,-0.2200,Reliable change,Fading,High,5,3,Moderate,Q3 FY26,-0.1875,463,weakening,-0.84,-0.86,0.0,0.0,0.0,1
472,PCBL,PCBL Chemical Ltd.,-0.4275,-0.4275,0.0,+0.0000,Reliable change,Watch,,6,3,Moderate,Q3 FY26,-0.1875,285,weakening,-0.83,-0.88,0.0,0.0,0.0,1
473,PIIND,PI Industries Ltd.,-0.4275,-0.1975,-0.23,-0.2300,Reliable change,Fading,High,5,2,Moderate,Q3 FY26,0.0,466,weakening,-0.82,-0.89,0.0,0.0,0.0,0
474,WELSPUNLIV,Welspun Living Ltd.,-0.43,-0.415,-0.015,-0.0150,Reliable change,Watch,Early,6,4,Moderate,Q3 FY26,-0.1975,389,weakening,-0.82,-0.9,0.0,0.0,0.0,1
475,VTL,Vardhman Textiles Ltd.,-0.43,0.0,-0.43,New signal,New signal,Fading,High,2,0,Limited,Q3 FY26,0.0,477,weakening,-0.9,-0.82,0.0,0.0,0.0,0
476,CLEAN,Clean Science and Technology Ltd.,-0.4325,-0.2,-0.2325,-0.2325 (limited history),Limited history,Fading,High,3,1,Limited,Q3 FY26,0.0,467,weakening,-0.86,-0.87,0.0,0.0,0.0,0
477,JINDALSAW,Jindal Saw Ltd.,-0.4475,-0.435,-0.0125,-0.0125,Reliable change,Watch,Early,5,3,Moderate,Q3 FY26,0.0,385,weakening,-0.88,-0.91,0.0,0.0,0.0,0
